c:brass_blocks                           => create:brass_block
c:brass_ingots                           => create:brass_ingot
c:brass_nuggets                          => create:brass_nugget
c:brass_plates                           => create:brass_sheet
c:brass_rods                             => createaddition:brass_rod
c:bronze_blocks                          => mythicmetals:bronze_block
c:bronze_ingots                          => mythicmetals:bronze_ingot
c:bronze_nuggets                         => mythicmetals:bronze_nugget
c:coal_blocks                            => minecraft:coal_block
c:coal_ores                              => minecraft:coal_ore, minecraft:deepslate_coal_ore
c:copper_ingots                          => minecraft:copper_ingot
c:copper_nuggets                         => create:copper_nugget, mythicmetals:copper_nugget
c:copper_ores                            => minecraft:copper_ore, minecraft:deepslate_copper_ore
c:copper_plates                          => create:copper_sheet
c:copper_raw_materials                   => minecraft:raw_copper
c:copper_rods                            => createaddition:copper_rod
c:diamond_blocks                         => minecraft:diamond_block
c:diamond_dusts                          => createaddition:diamond_grit
c:diamond_ores                           => minecraft:deepslate_diamond_ore, minecraft:diamond_ore
c:electrum_ingots                        => createaddition:electrum_ingot
c:electrum_nuggets                       => createaddition:electrum_nugget
c:electrum_plates                        => createaddition:electrum_sheet
c:electrum_rods                          => createaddition:electrum_rod
c:electrum_wires                         => createaddition:electrum_wire
c:emerald_blocks                         => minecraft:emerald_block
c:emerald_ores                           => minecraft:deepslate_emerald_ore, minecraft:emerald_ore
c:gold_blocks                            => minecraft:gold_block
c:gold_ingots                            => minecraft:gold_ingot
c:gold_nuggets                           => minecraft:gold_nugget
c:gold_ores                              => minecraft:deepslate_gold_ore, minecraft:gold_ore, minecraft:nether_gold_ore
c:gold_plates                            => create:golden_sheet
c:gold_raw_materials                     => minecraft:raw_gold
c:gold_rods                              => createaddition:gold_rod
c:iron_blocks                            => minecraft:iron_block
c:iron_nuggets                           => minecraft:iron_nugget
c:iron_ores                              => minecraft:deepslate_iron_ore, minecraft:iron_ore
c:iron_plates                            => create:iron_sheet
c:iron_raw_materials                     => minecraft:raw_iron
c:iron_rods                              => createaddition:iron_rod
c:lapis_blocks                           => minecraft:lapis_block
c:lapis_ores                             => minecraft:deepslate_lapis_ore, minecraft:lapis_ore
c:netherite_blocks                       => minecraft:netherite_block
c:netherite_ingots                       => minecraft:netherite_ingot
c:obsidian_dusts                         => create:powdered_obsidian
c:obsidian_plates                        => create:sturdy_sheet
c:osmium_blocks                          => mythicmetals:osmium_block
c:osmium_ingots                          => mythicmetals:osmium_ingot
c:osmium_nuggets                         => mythicmetals:osmium_nugget
c:osmium_ores                            => mythicmetals:osmium_ore
c:platinum_blocks                        => mythicmetals:platinum_block
c:platinum_ingots                        => mythicmetals:platinum_ingot
c:platinum_nuggets                       => mythicmetals:platinum_nugget
c:platinum_ores                          => mythicmetals:platinum_ore
c:raw_copper_blocks                      => minecraft:raw_copper_block
c:raw_copper_ores                        => minecraft:raw_copper
c:raw_gold_blocks                        => minecraft:raw_gold_block
c:raw_gold_ores                          => minecraft:raw_gold
c:raw_iron_blocks                        => minecraft:raw_iron_block
c:raw_iron_ores                          => minecraft:raw_iron
c:raw_osmium_blocks                      => mythicmetals:raw_osmium_block
c:raw_osmium_ores                        => mythicmetals:raw_osmium
c:raw_platinum_blocks                    => mythicmetals:raw_platinum_block
c:raw_platinum_ores                      => mythicmetals:raw_platinum
c:raw_silver_blocks                      => mythicmetals:raw_silver_block
c:raw_silver_ores                        => mythicmetals:raw_silver
c:raw_tin_blocks                         => mythicmetals:raw_tin_block
c:raw_tin_ores                           => mythicmetals:raw_tin
c:raw_zinc_blocks                        => create:raw_zinc_block
c:raw_zinc_ores                          => create:raw_zinc
c:silver_blocks                          => mythicmetals:silver_block
c:silver_ingots                          => mythicmetals:silver_ingot
c:silver_nuggets                         => mythicmetals:silver_nugget
c:silver_ores                            => mythicmetals:silver_ore
c:steel_blocks                           => mythicmetals:steel_block
c:steel_ingots                           => mythicmetals:steel_ingot
c:steel_nuggets                          => mythicmetals:steel_nugget
c:tin_blocks                             => mythicmetals:tin_block
c:tin_ingots                             => mythicmetals:tin_ingot
c:tin_nuggets                            => mythicmetals:tin_nugget
c:tin_ores                               => mythicmetals:tin_ore
c:zinc_blocks                            => create:zinc_block
c:zinc_ingots                            => create:zinc_ingot
c:zinc_nuggets                           => create:zinc_nugget
c:zinc_ores                              => create:deepslate_zinc_ore, create:zinc_ore
c:zinc_plates                            => createaddition:zinc_sheet, createdeco:zinc_sheet
